,date,plume_lat,plume_lon,emission,source_type,ipcc
2498,07/08/2021,32.1994857,-103.67207,141.5633605,compressor,1B2 Oil & Natural Gas
2499,29/07/2021,31.991292,-103.95993,237.0872183,well,1B2 Oil & Natural Gas
2500,05/08/2021,32.0001004,-103.74855,130.7082167,well,1B2 Oil & Natural Gas
2501,10/08/2021,31.799272,-102.09042,182.1429851,compressor,1B2 Oil & Natural Gas
2502,07/08/2021,32.140014,-103.5577,267.5854631,tank,1B2 Oil & Natural Gas
2503,08/08/2021,31.6145604,-102.02288,321.291458,pipeline,1B2 Oil & Natural Gas
2504,13/05/2021,39.954369,-80.248318,2980.566493,coal vent,1B1a Coal Mining
2505,05/08/2021,31.968348,-103.82406,72.96810642,tank,1B2 Oil & Natural Gas
2506,06/08/2021,32.207628,-103.48402,1467.15474,compressor,1B2 Oil & Natural Gas
2507,15/07/2021,40.198365,-104.67308,194.8966604,livestock,3A2 Manure Management
2508,29/07/2021,32.094232,-103.89221,542.0510387,well,1B2 Oil & Natural Gas
2509,31/07/2021,31.97286,-101.95962,217.1920286,well,1B2 Oil & Natural Gas
2510,27/07/2021,31.9712749,-103.55698,60.59042013,well,1B2 Oil & Natural Gas
2511,07/08/2021,31.98058,-103.90117,480.669253,pipeline,1B2 Oil & Natural Gas
2512,26/07/2021,32.112048,-101.80035,131.5036044,tank,1B2 Oil & Natural Gas
2513,31/07/2021,31.8051781,-102.0383,454.1063827,well,1B2 Oil & Natural Gas
2514,07/08/2021,32.032272,-103.84671,141.9192389,pipeline,1B2 Oil & Natural Gas
2515,29/07/2021,32.200104,-103.67335,162.2322381,compressor,1B2 Oil & Natural Gas
2516,19/07/2020,32.200104,-103.67335,162.2322381,compressor,1B2 Oil & Natural Gas
2517,11/10/2021,32.200104,-103.67335,162.2322381,compressor,1B2 Oil & Natural Gas
2518,11/10/2021,32.200104,-103.67335,162.2322381,compressor,1B2 Oil & Natural Gas
2519,29/07/2021,32.2001892,-103.67335,49.5705064,compressor,1B2 Oil & Natural Gas
2520,19/07/2020,32.2001892,-103.67335,49.5705064,compressor,1B2 Oil & Natural Gas
2521,11/10/2021,32.2001892,-103.67335,49.5705064,compressor,1B2 Oil & Natural Gas
